iata,icao,name,country
0V,VFC,VASCO,Vietnam
2K,GLG,Avianca Ecuador,Ecuador
2L,OAW,Helvetic Airways,Switzerland
2N,UMK,Yuzhmashavia,Ukraine
2P,GAP,PAL Express,Philippines
2T,TBS,Timbis Air,Kenya
2Z,PTB,Voepass,Brazil
3F,FIE,FlyOne Armenia,Armenia
3K,JSA,Jetstar Asia Airways,Singapore
3L,ADY,Air Arabia Abu Dhabi,United Arab Emirates
3M,SIL,Silver Airways,United States
3N,URG,Air Urga,Ukraine
3O,MAC,Air Arabia Maroc,Morocco
3S,BOX,Aerologic,Germany
3U,CSC,Sichuan Airlines,China
3V,TAY,ASL Airlines Belgium,Belgium
3W,MWI,Malawi Airlines,Malawi
3X,JAC,Japan Air Commuter,Japan
3Z,TVP,Smartwings Poland,Poland
4A,AKL,Air Kiribati,Kiribati
4B,BTQ,Boutique Air,United States
4C,ARE,LATAM Colombia,Colombia
4G,GZP,Gazpromavia,Russia
4Y,OCN,Discover Airlines,Germany
4Z,LNK,Airlink,South Africa
5A,AIP,Alpine Air Express,United States
5D,SLI,Aeroméxico Connect,Mexico
5F,FIA,FlyOne,Moldova
5J,CEB,Cebu Pacific,Philippines
5K,HFY,Hi Fly,Portugal
5M,MNT,Montserrat Airways,Montserrat
5N,AUL,Nordavia,Russia
5R,RUC,Rutaca,Venezuela
5W,WAZ,Wizz Air Abu Dhabi,United Arab Emirates
5X,UPS,United Parcel Service,United States
5Y,GTI,Atlas Air,United States
5Z,KEM,CemAir,South Africa
6A,AMW,Armenia Airways,Armenia
6B,BLX,TUI fly Nordic,Sweden
6D,TVQ,Smartwings Slovakia,Slovakia
6E,IGO,IndiGo,India
6G,RLX,Go2Sky,Slovakia
6H,ISR,Israir,Israel
6J,SNJ,Solaseed Air,Japan
6N,NIN,Niger Airlines,Niger
6R,TNO,AeroUnion,Mexico
6Y,ART,Smartlynx Airlines,Latvia
7C,JJA,Jeju Air,Republic of Korea
7E,AWU,Sylt Air GmbH,Germany
7F,AKT,Canadian North,Canada
7G,SFJ,Star Flyer,Japan
7H,RVF,Ravn Alaska,United States
7L,AZG,Silk Way West Airlines,Azerbaijan
7O,TVL,Smartwings Hungary,Hungary
7T,AGV,Air Glaciers,Switzerland
7W,QGA,Windrose Air,Germany
8D,EXV,FitsAir,Sri Lanka
8E,BRG,Bering Air,United States
8H,BGH,BH Air,Bulgaria
8M,MMA,Myanmar Airways International,Myanmar
8P,PCO,Pacific Coastal Airlines,Canada
8T,TID,Air Tindi,Canada
8U,AAW,Afriqiyah Airways,Libya
8V,WRF,Wright Air Service,United States
8W,EDR,Fly All Ways,Suriname
8Y,CYZ,China Postal Airlines,China
9C,CQH,Spring Airlines,China
9E,EDV,Endeavor Air,United States
9I,LLR,Air India Regional,India
9K,KAP,Cape Air,United States
9M,GLR,Central Mountain Air,Canada
9P,FJL,Fly Jinnah,Pakistan
9Y,NAE,National Airways Ethiopia,Ethiopia
A0,MCJ,Avianca Argentina,Argentina
A2,AWG,Animawings,Romania
A3,AEE,Aegean Airlines,Greece
A5,HOP,Hop!,France
A6,HTU,Hongtu Airlines,China
A8,XAU,Aerolink Uganda,Uganda
A9,TGZ,Georgian Airways,Georgia
AA,AAL,American Airlines,United States
AC,ACA,Air Canada,Canada
AD,AZU,Azul Linhas Aéreas Brasileiras,Brazil
AE,MDA,Mandarin Airlines,Taiwan
AF,AFR,Air France,France
AG,ARU,Aruba Airlines,Aruba
AH,DAH,Air Algérie,Algeria
AI,AIC,Air India,India
AK,AXM,AirAsia,Malaysia
AL,TXC,TAE Avia,Belarus
AM,AMX,Aeroméxico,Mexico
AN,WSN,Advanced Air,United States
AP,LAV,AlbaStar,Spain
AQ,JYH,9 Air,China
AR,ARG,Aerol?neas Argentinas,Argentina
AS,ASA,Alaska Airlines,United States
AT,RAM,Royal Air Maroc,Morocco
AV,AVA,Avianca,Colombia
AW,AFW,Africa World Airlines,Ghana
AY,FIN,Finnair,Finland
AZ,ITY,ITA Airways,Italy
B2,BRU,Belavia,Belarus
B3,BTN,Bhutan Airlines,Bhutan
B6,JBU,JetBlue Airways,United States
B7,UIA,UNI Air,Taiwan
B8,ERT,Eritrean Airlines,Eritrea
B9,IRB,Iran Airtour,Iran
BA,BAW,British Airways,United Kingdom
BB,SBS,Seaborne Airlines,United States
BC,SKY,Skymark Airlines,Japan
BF,RSR,Aero-Service,Republic of the Congo
BG,BBC,Biman Bangladesh Airlines,Bangladesh
BI,RBA,Royal Brunei Airlines,Brunei
BJ,LBT,Nouvel Air Tunisie,Tunisia
BL,PIC,Pacific Airlines,Vietnam
BP,BOT,Air Botswana,Botswana
BQ,SWU,Sky Alps,Italy
BR,EVA,EVA Air,Taiwan
BS,UBG,US-Bangla Airlines,Bangladesh
BT,BTI,Air Baltic,Latvia
BW,BWA,Caribbean Airlines,Trinidad and Tobago
BX,ABL,Air Busan,South Korea
BY,TOM,TUI Airways,United Kingdom
BZ,BDA,Blue Dart Aviation,India
C5,UCA,CommutAir,United States
CA,CCA,Air China,China
CD,CND,Corendon Dutch Airlines,Netherlands
CG,TOK,Airlines PNG,Papua New Guinea
CH,BMJ,Bemidji Airlines,United States
CI,CAL,China Airlines,Taiwan
CJ,CFE,BA CityFlyer,United Kingdom
CL,CLH,Lufthansa CityLine,Germany
CM,CMP,Copa Airlines,Panama
CO,COA,Continental Airlines,United States
CU,CUB,Cubana,Cuba
CV,CVA,Air Chathams,New Zealand
CW,CWM,Air Marshall Islands,Marshall Islands
CX,CPA,Cathay Pacific,Hong Kong
CY,CYP,Cyprus Airways,Cyprus
CZ,CSN,China Southern Airlines,China
D0,DHK,DHL Air Limited,United Kingdom
D2,SSF,Severstal Avia,Russia
D3,DAO,Daallo Airlines,Djibouti
D4,LID,Alidaunia,Italy
D7,XAX,AirAsia X,Malaysia
D8,NSZ,Norwegian Air Sweden,Sweden
DA,GRG,Air Georgia,Georgia
TF,BRX,Braathens Regional Airways,Sweden
DD,NOK,Nok Air,Thailand
DE,CFG,Condor,Germany
DG,SRQ,Cebgo,Philippines
DJ,SRR,Star Air,Denmark
DL,DAL,Delta Air Lines,United States
DP,PBD,Pobeda,Russia
DS,EZS,easyJet Switzerland,Switzerland
DT,DTA,TAAG Angola Airlines,Angola
DV,VSV,Scat Air,Kazakhstan
DX,DTR,DAT,Denmark
DY,NOZ,Norwegian Air Shuttle,Norway
DZ,EPA,Donghai Airlines,China
E5,RBG,Air Arabia Egypt,Egypt
E6,EWL,Eurowings Europe,Malta
EA,EAI,Emerald Airlines,Ireland
EC,EJU,easyJet Europe,Austria
ED,AXE,AirExplore,Slovakia
EG,EUK,Aer Lingus UK,United Kingdom
EI,EIN,Aer Lingus,Ireland
EJ,NEA,New England Airlines,United States
EK,UAE,Emirates Airlines,United Arab Emirates
EM,CFS,Empire Airlines,United States
EN,DLA,Air Dolomiti,Italy
EP,IRC,Iran Aseman Airlines,Iran
ES,DHX,DHL International,Bahrain
ET,ETH,Ethiopian Airlines,Ethiopia
EW,EWG,Eurowings,Germany
EY,ETD,Etihad Airways,United Arab Emirates
EZ,SUS,Sun Air of Scandinavia,Denmark
F3,FSW,Faso Airways,Burkina Faso
F8,FLE,Flair Airlines,Canada
F9,FFT,Frontier Airlines,United States
FA,SFR,Safair,South Africa
FB,LZB,Bulgaria Air,Bulgaria
FD,AIQ,Thai AirAsia,Thailand
FG,AFG,Ariana Afghan Airlines,Afghanistan
FH,FHY,Freebird Airlines,Turkey
FI,ICE,Icelandair,Iceland
FJ,FJI,Fiji Airways,Fiji
FK,KEW,Keewatin Air,Canada
FM,CSH,Shanghai Airlines,China
FN,RGL,Regional Air Lines,Morocco
FO,FBZ,Flybondi,Argentina
FR,RYR,Ryanair,Ireland
FV,SDM,Rossiya,Russia
FW,IBX,Ibex Airlines,Japan
